Sl. No.,Chapter Name,Assignment Number,HTML File Name,HTML URL,Status
2,linear_equations_in_two_variables,2,sv_cha_linear_equations_in_two_variables_02,https://shrividhyaclasses.b-cdn.net/cbse09_maths/html_for_pdfs/sv_cha_linear_equations_in_two_variables_02.html,TRUE
2,linear_equations_in_two_variables,2,sv_cha_linear_equations_in_two_variables_02_sol,https://shrividhyaclasses.b-cdn.net/cbse09_maths/html_for_pdfs/sv_cha_linear_equations_in_two_variables_02_sol.html,TRUE
1,introduction_to_euclids_geometry,1,sv_cha_introduction_to_euclids_geometry_01,https://shrividhyaclasses.b-cdn.net/cbse09_maths/html_for_pdfs/sv_cha_introduction_to_euclids_geometry_01.html,TRUE
1,introduction_to_euclids_geometry,1,sv_cha_introduction_to_euclids_geometry_01_sol,https://shrividhyaclasses.b-cdn.net/cbse09_maths/html_for_pdfs/sv_cha_introduction_to_euclids_geometry_01_sol.html,TRUE
1,lines_and_angles,1,sv_cha_lines_and_angles_01,https://shrividhyaclasses.b-cdn.net/cbse09_maths/html_for_pdfs/sv_cha_lines_and_angles_01.html,TRUE
1,lines_and_angles,1,sv_cha_lines_and_angles_01_sol,https://shrividhyaclasses.b-cdn.net/cbse09_maths/html_for_pdfs/sv_cha_lines_and_angles_01_sol.html,TRUE
1,triangles,1,sv_cha_triangles_01,https://shrividhyaclasses.b-cdn.net/cbse09_maths/html_for_pdfs/sv_cha_triangles_01.html,TRUE
1,triangles,1,sv_cha_triangles_01_sol,https://shrividhyaclasses.b-cdn.net/cbse09_maths/html_for_pdfs/sv_cha_triangles_01_sol.html,TRUE
1,quadrilaterals,1,sv_cha_quadrilaterals_01,https://shrividhyaclasses.b-cdn.net/cbse09_maths/html_for_pdfs/sv_cha_quadrilaterals_01.html,TRUE
1,quadrilaterals,1,sv_cha_quadrilaterals_01_sol,https://shrividhyaclasses.b-cdn.net/cbse09_maths/html_for_pdfs/sv_cha_quadrilaterals_01_sol.html,TRUE
2,quadrilaterals,2,sv_cha_quadrilaterals_02,https://shrividhyaclasses.b-cdn.net/cbse09_maths/html_for_pdfs/sv_cha_quadrilaterals_02.html,TRUE
2,quadrilaterals,2,sv_cha_quadrilaterals_02_sol,https://shrividhyaclasses.b-cdn.net/cbse09_maths/html_for_pdfs/sv_cha_quadrilaterals_02_sol.html,TRUE
3,quadrilaterals,3,sv_cha_quadrilaterals_03,https://shrividhyaclasses.b-cdn.net/cbse09_maths/html_for_pdfs/sv_cha_quadrilaterals_03.html,TRUE
3,quadrilaterals,3,sv_cha_quadrilaterals_03_sol,https://shrividhyaclasses.b-cdn.net/cbse09_maths/html_for_pdfs/sv_cha_quadrilaterals_03_sol.html,TRUE
1,circles,1,sv_cha_circles_01,https://shrividhyaclasses.b-cdn.net/cbse09_maths/html_for_pdfs/sv_cha_circles_01.html,TRUE
1,circles,1,sv_cha_circles_01_sol,https://shrividhyaclasses.b-cdn.net/cbse09_maths/html_for_pdfs/sv_cha_circles_01_sol.html,TRUE
2,circles,2,sv_cha_circles_02,https://shrividhyaclasses.b-cdn.net/cbse09_maths/html_for_pdfs/sv_cha_circles_02.html,TRUE
2,circles,2,sv_cha_circles_02_sol,https://shrividhyaclasses.b-cdn.net/cbse09_maths/html_for_pdfs/sv_cha_circles_02_sol.html,TRUE
1,herons_formula,1,sv_cha_herons_formula_01,https://shrividhyaclasses.b-cdn.net/cbse09_maths/html_for_pdfs/sv_cha_herons_formula_01.html,TRUE
1,herons_formula,1,sv_cha_herons_formula_01_sol,https://shrividhyaclasses.b-cdn.net/cbse09_maths/html_for_pdfs/sv_cha_herons_formula_01_sol.html,TRUE
1,surface_areas_and_volumes,1,sv_cha_surface_areas_and_volumes_01,https://shrividhyaclasses.b-cdn.net/cbse09_maths/html_for_pdfs/sv_cha_surface_areas_and_volumes_01.html,TRUE
1,surface_areas_and_volumes,1,sv_cha_surface_areas_and_volumes_01_sol,https://shrividhyaclasses.b-cdn.net/cbse09_maths/html_for_pdfs/sv_cha_surface_areas_and_volumes_01_sol.html,TRUE
1,statistics,1,sv_cha_statistics_01,https://shrividhyaclasses.b-cdn.net/cbse09_maths/html_for_pdfs/sv_cha_statistics_01.html,TRUE
1,statistics,1,sv_cha_statistics_01_sol,https://shrividhyaclasses.b-cdn.net/cbse09_maths/html_for_pdfs/sv_cha_statistics_01_sol.html,TRUE
1,samples_tests,1,sv_cha_samples_tests_01,https://shrividhyaclasses.b-cdn.net/cbse09_maths/html_for_pdfs/sv_cha_samples_tests_01.html,TRUE
1,samples_tests,1,sv_cha_samples_tests_01_sol,https://shrividhyaclasses.b-cdn.net/cbse09_maths/html_for_pdfs/sv_cha_samples_tests_01_sol.html,TRUE
